Time, Valve, Pump Dir, Pump Time, Measure Time, Purge Time, Notes
2019/6/1 0:01:03, 10, Forward, 10, 45, 5, Automatic - Start!
2019/6/1 0:01:58, 8, Reverse, 10, 45, 5, Automatic
2019/6/1 0:02:53, 1, Forward, 20, 35, 8, Automatic
2019/6/1 0:03:48, 8, Reverse, 20, 35, 8, Automatic
2019/6/1 0:04:43, 2, Forward, 25, 30, 8, Automatic
2019/6/1 0:05:38, 8, Reverse, 25, 30, 8, Automatic
2019/6/1 0:06:33, 3, Forward, 30, 25, 8, Automatic
2019/6/1 0:07:28, 8, Reverse, 30, 25, 8, Automatic
2019/6/1 0:08:23, 12, Forward, 20, 35, 3, Automatic
2019/6/1 0:09:18, 8, Reverse, 20, 35, 3, Automatic
2019/6/1 0:10:13, 4, Forward, 32, 23, 8, Automatic
2019/6/1 0:11:08, 8, Reverse, 32, 23, 8, Automatic
2019/6/1 0:12:03, 5, Forward, 35, 20, 8, Automatic
2019/6/1 0:12:58, 8, Reverse, 35, 20, 8, Automatic
2019/6/1 0:13:53, 6, Forward, 40, 15, 8, Automatic
2019/6/1 0:14:48, 8, Reverse, 40, 15, 8, Automatic
2019/6/1 0:15:43, 12, Forward, 20, 35, 3, Automatic
2019/6/1 0:16:38, 8, Reverse, 20, 35, 3, Automatic
2019/6/1 0:17:33, 7, Forward, 42, 12, 8, Automatic
2019/6/1 0:18:27, 8, Reverse, 42, 12, 8, Automatic
2019/6/1 0:19:23, 12, Forward, 20, 35, 15, Automatic
2019/6/1 0:20:18, 8, Reverse, 20, 35, 15, Automatic
2019/6/1 0:21:13, 11, Forward, 7, 48, 10, Automatic
2019/6/1 0:22:08, 11, Reverse, 7, 48, 10, Automatic
2019/6/1 0:23:03, 12, Forward, 20, 35, 15, Automatic
2019/6/1 0:23:58, 8, Reverse, 20, 35, 15, Automatic
2019/6/1 0:24:53, 10, Forward, 10, 45, 5, Automatic
2019/6/1 0:25:48, 8, Reverse, 10, 45, 5, Automatic
2019/6/1 0:26:43, 1, Forward, 20, 35, 8, Automatic
2019/6/1 0:27:38, 8, Reverse, 20, 35, 8, Automatic
2019/6/1 0:28:33, 2, Forward, 25, 30, 8, Automatic
2019/6/1 0:29:28, 8, Reverse, 25, 30, 8, Automatic
2019/6/1 0:30:23, 3, Forward, 30, 25, 8, Automatic
2019/6/1 0:31:18, 8, Reverse, 30, 25, 8, Automatic
2019/6/1 0:32:13, 12, Forward, 20, 35, 3, Automatic
2019/6/1 0:33:08, 8, Reverse, 20, 35, 3, Automatic
2019/6/1 0:34:03, 4, Forward, 32, 23, 8, Automatic
2019/6/1 0:34:58, 8, Reverse, 32, 23, 8, Automatic
2019/6/1 0:35:53, 5, Forward, 35, 20, 8, Automatic
2019/6/1 0:36:48, 8, Reverse, 35, 20, 8, Automatic
2019/6/1 0:37:43, 6, Forward, 40, 15, 8, Automatic
2019/6/1 0:38:38, 8, Reverse, 40, 15, 8, Automatic
2019/6/1 0:39:33, 12, Forward, 20, 35, 3, Automatic
2019/6/1 0:40:28, 8, Reverse, 20, 35, 3, Automatic
2019/6/1 0:41:23, 7, Forward, 42, 12, 8, Automatic
2019/6/1 0:42:17, 8, Reverse, 42, 12, 8, Automatic
2019/6/1 0:43:13, 12, Forward, 20, 35, 15, Automatic
2019/6/1 0:44:08, 8, Reverse, 20, 35, 15, Automatic
2019/6/1 0:45:03, 11, Forward, 7, 48, 10, Automatic
2019/6/1 0:45:58, 11, Reverse, 7, 48, 10, Automatic
