Time, Valve, Pump Dir, Pump Time, Measure Time, Purge Time, Notes
10/1/2018 0:02:45, 1, Forward, 35, 55, 37, Automatic
10/1/2018 0:04:15, 1, Reverse, 35, 55, 37, Automatic
10/1/2018 0:06:45, 2, Forward, 39, 51, 41, Automatic
10/1/2018 0:08:15, 2, Reverse, 39, 51, 41, Automatic
10/1/2018 0:10:45, 3, Forward, 42, 48, 44, Automatic
10/1/2018 0:12:15, 3, Reverse, 42, 48, 44, Automatic
10/1/2018 0:14:45, 4, Forward, 44, 46, 46, Automatic
10/1/2018 0:16:15, 4, Reverse, 44, 46, 46, Automatic
10/1/2018 0:18:45, 5, Forward, 49, 41, 51, Automatic
10/1/2018 0:20:15, 5, Reverse, 49, 41, 51, Automatic
10/1/2018 0:22:45, 6, Forward, 51, 39, 53, Automatic
10/1/2018 0:24:16, 6, Reverse, 51, 39, 53, Automatic
10/1/2018 0:26:45, 7, Forward, 54, 36, 57, Automatic
10/1/2018 0:28:15, 7, Reverse, 54, 36, 57, Automatic
10/1/2018 0:30:45, 8, Forward, 65, 25, 67, Automatic
10/1/2018 0:32:16, 8, Reverse, 65, 25, 67, Automatic
10/1/2018 0:34:45, 9, Forward, 70, 20, 72, Automatic
10/1/2018 0:36:15, 9, Reverse, 70, 20, 72, Automatic
10/1/2018 0:38:45, 10, Forward, 30, 60, 32, Automatic
10/1/2018 0:40:15, 10, Reverse, 30, 60, 32, Automatic
10/1/2018 0:42:45, 1, Forward, 35, 55, 37, Automatic
10/1/2018 0:44:15, 1, Reverse, 35, 55, 37, Automatic
10/1/2018 0:46:45, 2, Forward, 39, 51, 41, Automatic
10/1/2018 0:48:15, 2, Reverse, 39, 51, 41, Automatic
10/1/2018 0:50:45, 3, Forward, 42, 48, 44, Automatic
10/1/2018 0:52:15, 3, Reverse, 42, 48, 44, Automatic
10/1/2018 0:54:45, 4, Forward, 44, 46, 46, Automatic
10/1/2018 0:56:15, 4, Reverse, 44, 46, 46, Automatic
10/1/2018 0:58:45, 5, Forward, 49, 41, 51, Automatic
10/1/2018 1:00:15, 5, Reverse, 49, 41, 51, Automatic
10/1/2018 1:02:45, 6, Forward, 51, 39, 53, Automatic
10/1/2018 1:04:16, 6, Reverse, 51, 39, 53, Automatic
10/1/2018 1:06:45, 7, Forward, 54, 36, 57, Automatic
10/1/2018 1:08:15, 7, Reverse, 54, 36, 57, Automatic
10/1/2018 1:10:45, 8, Forward, 65, 25, 67, Automatic
10/1/2018 1:12:16, 8, Reverse, 65, 25, 67, Automatic
10/1/2018 1:14:45, 9, Forward, 70, 20, 72, Automatic
10/1/2018 1:16:15, 9, Reverse, 70, 20, 72, Automatic
10/1/2018 1:18:45, 10, Forward, 30, 60, 32, Automatic
10/1/2018 1:20:15, 10, Reverse, 30, 60, 32, Automatic
10/1/2018 1:22:45, 1, Forward, 35, 55, 37, Automatic
10/1/2018 1:24:15, 1, Reverse, 35, 55, 37, Automatic
10/1/2018 1:26:45, 2, Forward, 39, 51, 41, Automatic
10/1/2018 1:28:15, 2, Reverse, 39, 51, 41, Automatic
10/1/2018 1:30:45, 3, Forward, 42, 48, 44, Automatic
10/1/2018 1:32:15, 3, Reverse, 42, 48, 44, Automatic
10/1/2018 1:34:45, 4, Forward, 44, 46, 46, Automatic
10/1/2018 1:36:15, 4, Reverse, 44, 46, 46, Automatic
10/1/2018 1:38:45, 5, Forward, 49, 41, 51, Automatic
10/1/2018 1:40:15, 5, Reverse, 49, 41, 51, Automatic
10/1/2018 1:42:45, 6, Forward, 51, 39, 53, Automatic
10/1/2018 1:44:16, 6, Reverse, 51, 39, 53, Automatic
10/1/2018 1:46:45, 7, Forward, 54, 36, 57, Automatic
10/1/2018 1:48:15, 7, Reverse, 54, 36, 57, Automatic
10/1/2018 1:50:45, 8, Forward, 65, 25, 67, Automatic
10/1/2018 1:52:16, 8, Reverse, 65, 25, 67, Automatic
10/1/2018 1:54:45, 9, Forward, 70, 20, 72, Automatic
10/1/2018 1:56:15, 9, Reverse, 70, 20, 72, Automatic
10/1/2018 1:58:45, 10, Forward, 30, 60, 32, Automatic
10/1/2018 2:00:15, 10, Reverse, 30, 60, 32, Automatic
10/1/2018 2:02:45, 1, Forward, 35, 55, 37, Automatic
10/1/2018 2:04:16, 1, Reverse, 35, 55, 37, Automatic
10/1/2018 2:06:45, 2, Forward, 39, 51, 41, Automatic
10/1/2018 2:08:15, 2, Reverse, 39, 51, 41, Automatic
10/1/2018 2:10:45, 3, Forward, 42, 48, 44, Automatic
10/1/2018 2:12:16, 3, Reverse, 42, 48, 44, Automatic
10/1/2018 2:14:45, 4, Forward, 44, 46, 46, Automatic
10/1/2018 2:16:15, 4, Reverse, 44, 46, 46, Automatic
10/1/2018 2:18:45, 5, Forward, 49, 41, 51, Automatic
10/1/2018 2:20:15, 5, Reverse, 49, 41, 51, Automatic
10/1/2018 2:22:45, 6, Forward, 51, 39, 53, Automatic
10/1/2018 2:24:16, 6, Reverse, 51, 39, 53, Automatic
10/1/2018 2:26:45, 7, Forward, 54, 36, 57, Automatic
10/1/2018 2:28:16, 7, Reverse, 54, 36, 57, Automatic
10/1/2018 2:30:45, 8, Forward, 65, 25, 67, Automatic
10/1/2018 2:32:16, 8, Reverse, 65, 25, 67, Automatic
10/1/2018 2:34:45, 9, Forward, 70, 20, 72, Automatic
10/1/2018 2:36:16, 9, Reverse, 70, 20, 72, Automatic
10/1/2018 2:38:45, 10, Forward, 30, 60, 32, Automatic
10/1/2018 2:40:16, 10, Reverse, 30, 60, 32, Automatic
10/1/2018 2:42:45, 1, Forward, 35, 55, 37, Automatic
10/1/2018 2:44:16, 1, Reverse, 35, 55, 37, Automatic
10/1/2018 2:46:45, 2, Forward, 39, 51, 41, Automatic
10/1/2018 2:48:16, 2, Reverse, 39, 51, 41, Automatic
10/1/2018 2:50:45, 3, Forward, 42, 48, 44, Automatic
10/1/2018 2:52:16, 3, Reverse, 42, 48, 44, Automatic
10/1/2018 2:54:46, 4, Forward, 44, 46, 46, Automatic
10/1/2018 2:56:16, 4, Reverse, 44, 46, 46, Automatic
10/1/2018 2:58:46, 5, Forward, 49, 41, 51, Automatic
10/1/2018 3:00:16, 5, Reverse, 49, 41, 51, Automatic
10/1/2018 3:02:46, 6, Forward, 51, 39, 53, Automatic
10/1/2018 3:04:16, 6, Reverse, 51, 39, 53, Automatic
10/1/2018 3:06:46, 7, Forward, 54, 36, 57, Automatic
10/1/2018 3:08:16, 7, Reverse, 54, 36, 57, Automatic
10/1/2018 3:10:46, 8, Forward, 65, 25, 67, Automatic
10/1/2018 3:12:16, 8, Reverse, 65, 25, 67, Automatic
10/1/2018 3:14:46, 9, Forward, 70, 20, 72, Automatic
10/1/2018 3:16:16, 9, Reverse, 70, 20, 72, Automatic
10/1/2018 3:18:46, 10, Forward, 30, 60, 32, Automatic
10/1/2018 3:20:16, 10, Reverse, 30, 60, 32, Automatic
10/1/2018 3:22:46, 1, Forward, 35, 55, 37, Automatic
10/1/2018 3:24:16, 1, Reverse, 35, 55, 37, Automatic
10/1/2018 3:26:46, 2, Forward, 39, 51, 41, Automatic
10/1/2018 3:28:16, 2, Reverse, 39, 51, 41, Automatic
10/1/2018 3:30:46, 3, Forward, 42, 48, 44, Automatic
10/1/2018 3:32:16, 3, Reverse, 42, 48, 44, Automatic
10/1/2018 3:34:46, 4, Forward, 44, 46, 46, Automatic
10/1/2018 3:36:16, 4, Reverse, 44, 46, 46, Automatic
10/1/2018 3:38:46, 5, Forward, 49, 41, 51, Automatic
10/1/2018 3:40:16, 5, Reverse, 49, 41, 51, Automatic
10/1/2018 3:42:46, 6, Forward, 51, 39, 53, Automatic
10/1/2018 3:44:16, 6, Reverse, 51, 39, 53, Automatic
10/1/2018 3:46:46, 7, Forward, 54, 36, 57, Automatic
10/1/2018 3:48:16, 7, Reverse, 54, 36, 57, Automatic
10/1/2018 3:50:46, 8, Forward, 65, 25, 67, Automatic
10/1/2018 3:52:16, 8, Reverse, 65, 25, 67, Automatic
10/1/2018 3:54:46, 9, Forward, 70, 20, 72, Automatic
10/1/2018 3:56:16, 9, Reverse, 70, 20, 72, Automatic
10/1/2018 3:58:46, 10, Forward, 30, 60, 32, Automatic
10/1/2018 4:00:16, 10, Reverse, 30, 60, 32, Automatic
10/1/2018 4:02:46, 1, Forward, 35, 55, 37, Automatic
10/1/2018 4:04:16, 1, Reverse, 35, 55, 37, Automatic
10/1/2018 4:06:46, 2, Forward, 39, 51, 41, Automatic
10/1/2018 4:08:16, 2, Reverse, 39, 51, 41, Automatic
10/1/2018 4:10:46, 3, Forward, 42, 48, 44, Automatic
10/1/2018 4:12:16, 3, Reverse, 42, 48, 44, Automatic
10/1/2018 4:14:46, 4, Forward, 44, 46, 46, Automatic
10/1/2018 4:16:16, 4, Reverse, 44, 46, 46, Automatic
10/1/2018 4:18:46, 5, Forward, 49, 41, 51, Automatic
10/1/2018 4:20:16, 5, Reverse, 49, 41, 51, Automatic
10/1/2018 4:22:46, 6, Forward, 51, 39, 53, Automatic
10/1/2018 4:24:16, 6, Reverse, 51, 39, 53, Automatic
10/1/2018 4:26:46, 7, Forward, 54, 36, 57, Automatic
10/1/2018 4:28:16, 7, Reverse, 54, 36, 57, Automatic
10/1/2018 4:30:46, 8, Forward, 65, 25, 67, Automatic
10/1/2018 4:32:16, 8, Reverse, 65, 25, 67, Automatic
10/1/2018 4:34:46, 9, Forward, 70, 20, 72, Automatic
10/1/2018 4:36:16, 9, Reverse, 70, 20, 72, Automatic
10/1/2018 4:38:46, 10, Forward, 30, 60, 32, Automatic
10/1/2018 4:40:16, 10, Reverse, 30, 60, 32, Automatic
10/1/2018 4:42:46, 1, Forward, 35, 55, 37, Automatic
10/1/2018 4:44:16, 1, Reverse, 35, 55, 37, Automatic
10/1/2018 4:46:46, 2, Forward, 39, 51, 41, Automatic
10/1/2018 4:48:16, 2, Reverse, 39, 51, 41, Automatic
10/1/2018 4:50:46, 3, Forward, 42, 48, 44, Automatic
10/1/2018 4:52:16, 3, Reverse, 42, 48, 44, Automatic
10/1/2018 4:54:46, 4, Forward, 44, 46, 46, Automatic
10/1/2018 4:56:16, 4, Reverse, 44, 46, 46, Automatic
10/1/2018 4:58:46, 5, Forward, 49, 41, 51, Automatic
10/1/2018 5:00:16, 5, Reverse, 49, 41, 51, Automatic
10/1/2018 5:18:43, 1, Forward, 35, 55, 37, Automatic
10/1/2018 5:20:14, 1, Reverse, 35, 55, 37, Automatic
10/1/2018 5:22:43, 2, Forward, 39, 51, 41, Automatic
10/1/2018 5:24:13, 2, Reverse, 39, 51, 41, Automatic
10/1/2018 5:26:43, 3, Forward, 42, 48, 44, Automatic
10/1/2018 5:28:13, 3, Reverse, 42, 48, 44, Automatic
10/1/2018 5:30:43, 4, Forward, 44, 46, 46, Automatic
10/1/2018 5:32:13, 4, Reverse, 44, 46, 46, Automatic
10/1/2018 5:34:43, 5, Forward, 49, 41, 51, Automatic
10/1/2018 5:36:13, 5, Reverse, 49, 41, 51, Automatic
10/1/2018 5:38:43, 6, Forward, 51, 39, 53, Automatic
10/1/2018 5:40:14, 6, Reverse, 51, 39, 53, Automatic
10/1/2018 5:42:43, 7, Forward, 54, 36, 57, Automatic
10/1/2018 5:44:13, 7, Reverse, 54, 36, 57, Automatic
10/1/2018 5:46:43, 8, Forward, 65, 25, 67, Automatic
10/1/2018 5:48:14, 8, Reverse, 65, 25, 67, Automatic
10/1/2018 5:50:43, 9, Forward, 70, 20, 72, Automatic
10/1/2018 5:52:13, 9, Reverse, 70, 20, 72, Automatic
10/1/2018 5:54:43, 10, Forward, 30, 60, 32, Automatic
10/1/2018 5:56:13, 10, Reverse, 30, 60, 32, Automatic
10/1/2018 5:58:43, 1, Forward, 35, 55, 37, Automatic
10/1/2018 6:00:13, 1, Reverse, 35, 55, 37, Automatic
10/1/2018 6:02:43, 2, Forward, 39, 51, 41, Automatic
10/1/2018 6:04:13, 2, Reverse, 39, 51, 41, Automatic
10/1/2018 6:06:43, 3, Forward, 42, 48, 44, Automatic
10/1/2018 6:08:13, 3, Reverse, 42, 48, 44, Automatic
10/1/2018 6:10:43, 4, Forward, 44, 46, 46, Automatic
10/1/2018 6:12:13, 4, Reverse, 44, 46, 46, Automatic
10/1/2018 6:14:43, 5, Forward, 49, 41, 51, Automatic
10/1/2018 6:16:13, 5, Reverse, 49, 41, 51, Automatic
10/1/2018 6:18:43, 6, Forward, 51, 39, 53, Automatic
10/1/2018 6:20:14, 6, Reverse, 51, 39, 53, Automatic
10/1/2018 6:22:43, 7, Forward, 54, 36, 57, Automatic
10/1/2018 6:24:13, 7, Reverse, 54, 36, 57, Automatic
10/1/2018 6:26:43, 8, Forward, 65, 25, 67, Automatic
10/1/2018 6:28:14, 8, Reverse, 65, 25, 67, Automatic
10/1/2018 6:30:43, 9, Forward, 70, 20, 72, Automatic
10/1/2018 6:32:13, 9, Reverse, 70, 20, 72, Automatic
10/1/2018 6:34:43, 10, Forward, 30, 60, 32, Automatic
10/1/2018 6:36:13, 10, Reverse, 30, 60, 32, Automatic
10/1/2018 6:38:43, 1, Forward, 35, 55, 37, Automatic
10/1/2018 6:40:13, 1, Reverse, 35, 55, 37, Automatic
10/1/2018 6:42:43, 2, Forward, 39, 51, 41, Automatic
10/1/2018 6:44:13, 2, Reverse, 39, 51, 41, Automatic
10/1/2018 6:46:43, 3, Forward, 42, 48, 44, Automatic
10/1/2018 6:48:13, 3, Reverse, 42, 48, 44, Automatic
10/1/2018 6:50:43, 4, Forward, 44, 46, 46, Automatic
10/1/2018 6:52:13, 4, Reverse, 44, 46, 46, Automatic
10/1/2018 6:54:43, 5, Forward, 49, 41, 51, Automatic
10/1/2018 6:56:13, 5, Reverse, 49, 41, 51, Automatic
10/1/2018 6:58:43, 6, Forward, 51, 39, 53, Automatic
10/1/2018 7:00:14, 6, Reverse, 51, 39, 53, Automatic
10/1/2018 7:02:43, 7, Forward, 54, 36, 57, Automatic
10/1/2018 7:04:13, 7, Reverse, 54, 36, 57, Automatic
10/1/2018 7:06:43, 8, Forward, 65, 25, 67, Automatic
10/1/2018 7:08:14, 8, Reverse, 65, 25, 67, Automatic
10/1/2018 7:10:43, 9, Forward, 70, 20, 72, Automatic
10/1/2018 7:12:13, 9, Reverse, 70, 20, 72, Automatic
10/1/2018 7:14:43, 10, Forward, 30, 60, 32, Automatic
10/1/2018 7:16:14, 10, Reverse, 30, 60, 32, Automatic
10/1/2018 7:18:43, 1, Forward, 35, 55, 37, Automatic
10/1/2018 7:20:13, 1, Reverse, 35, 55, 37, Automatic
10/1/2018 7:22:43, 2, Forward, 39, 51, 41, Automatic
10/1/2018 7:24:13, 2, Reverse, 39, 51, 41, Automatic
10/1/2018 7:26:43, 3, Forward, 42, 48, 44, Automatic
10/1/2018 7:28:13, 3, Reverse, 42, 48, 44, Automatic
10/1/2018 7:30:43, 4, Forward, 44, 46, 46, Automatic
10/1/2018 7:32:14, 4, Reverse, 44, 46, 46, Automatic
10/1/2018 7:34:43, 5, Forward, 49, 41, 51, Automatic
10/1/2018 7:36:14, 5, Reverse, 49, 41, 51, Automatic
10/1/2018 7:38:43, 6, Forward, 51, 39, 53, Automatic
10/1/2018 7:40:14, 6, Reverse, 51, 39, 53, Automatic
10/1/2018 7:42:43, 7, Forward, 54, 36, 57, Automatic
10/1/2018 7:44:14, 7, Reverse, 54, 36, 57, Automatic
10/1/2018 7:46:43, 8, Forward, 65, 25, 67, Automatic
10/1/2018 7:48:14, 8, Reverse, 65, 25, 67, Automatic
10/1/2018 7:50:43, 9, Forward, 70, 20, 72, Automatic
10/1/2018 7:52:14, 9, Reverse, 70, 20, 72, Automatic
10/1/2018 7:54:43, 10, Forward, 30, 60, 32, Automatic
10/1/2018 7:56:14, 10, Reverse, 30, 60, 32, Automatic
10/1/2018 7:58:43, 1, Forward, 35, 55, 37, Automatic
10/1/2018 8:00:14, 1, Reverse, 35, 55, 37, Automatic
10/1/2018 8:02:44, 2, Forward, 39, 51, 41, Automatic
10/1/2018 8:04:14, 2, Reverse, 39, 51, 41, Automatic
10/1/2018 8:06:44, 3, Forward, 42, 48, 44, Automatic
10/1/2018 8:08:14, 3, Reverse, 42, 48, 44, Automatic
10/1/2018 8:10:44, 4, Forward, 44, 46, 46, Automatic
10/1/2018 8:12:14, 4, Reverse, 44, 46, 46, Automatic
10/1/2018 8:14:44, 5, Forward, 49, 41, 51, Automatic
10/1/2018 8:16:14, 5, Reverse, 49, 41, 51, Automatic
10/1/2018 8:18:44, 6, Forward, 51, 39, 53, Automatic
10/1/2018 8:20:14, 6, Reverse, 51, 39, 53, Automatic
10/1/2018 8:22:44, 7, Forward, 54, 36, 57, Automatic
10/1/2018 8:24:14, 7, Reverse, 54, 36, 57, Automatic
10/1/2018 8:26:44, 8, Forward, 65, 25, 67, Automatic
10/1/2018 8:28:14, 8, Reverse, 65, 25, 67, Automatic
10/1/2018 8:30:44, 9, Forward, 70, 20, 72, Automatic
10/1/2018 8:32:14, 9, Reverse, 70, 20, 72, Automatic
10/1/2018 8:34:44, 10, Forward, 30, 60, 32, Automatic
10/1/2018 8:36:14, 10, Reverse, 30, 60, 32, Automatic
10/1/2018 8:38:44, 1, Forward, 35, 55, 37, Automatic
10/1/2018 8:40:14, 1, Reverse, 35, 55, 37, Automatic
10/1/2018 8:42:44, 2, Forward, 39, 51, 41, Automatic
10/1/2018 8:44:14, 2, Reverse, 39, 51, 41, Automatic
